id;fecha;anio;mes;tipoprop;lugar;geoname_num;lat_lon;sup_tot_m2;sup_cub_m2;piso;cant_amb;des;tit;Pozo;Boleto;Unidades;Departamentos;Entrega;Inversor;Posesion;Cuotas;Anticipo;Estrenar;Emprendimiento;Resumen;Amenities;Cochera;Patio;Categoria;Balcon;Clase
1.003;1/30/16 0:00;2016;ene;dto;Las Canitas;;-34.5711061,-58.4402305;57;57;5;3;Venta de Departamento 3 AMBIENTES en Las CaÃ±itas Luminoso, silencioso. Equipado con heladera, lava y secarropas y split frio/calor LG). Dormitorio principal con guardaropa/vestidor incluido Excelente ubicacion, el mismo se encuentra ubicado a una cuadra;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.033;1/1/16 0:00;2016;ene;dto;Villa Crespo;3427458;-34.596088,-58.440464;;38;6;1;Jorge Salafia  CUCICBA 5666Contacto: Diana Ribera  MLS ID # 420211028334EMPRENDIMIENTO MY SOHO EN VILLA CRESPO. DEPARTAMENTO MONOAMBIENTE DIVISIBLE  EN PISO 14  con Living comedor con cocina integrada y salida al balcon, baÃ±o completo y  sector destinado;MONOAMBIENTE DIVISIBLE DE POZO EN VILLA CRESPO;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
1.057;11/24/15 0:00;2015;nov;dto;Balvanera;6693228;-34.609073,-58.429794;;100;3;3;Hernan Perrone   2792Contacto: Liliana Deluca  MLS ID # 15110383Excelente ubicacion   Cuatro ambientes con dependencia al frente.  Importante Living comedor con  balcon a la calle  dormitorios con sus respectivos placares BaÃ±o completo  Toilette  Comoda;Cuatro ambientes con dependencia-Exc. ubicacion!!!;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1.105;2/17/16 0:00;2016;feb;dto;Palermo Soho;3430234;-34.5894619537,-58.4271353541;160;80;;3;VENTA TRIPLEX DE TRES AMBIENTES EN PALERMO SOHO  Hermoso triplex primer piso por escalera, ubicado en una de las mejores calles de Palermo Soho, rodeado de restaurantes y locales de marca. El primer nivel cuenta con un amplio living comedor con salida a b;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.121;7/8/15 0:00;2015;jul;dto;Almagro;3436397;-34.6135394916,-58.416027359;56;56;1;3;ALMAGRO DEPARTAMENTO DE 3 AMBIENTES HALL DE RECEPCIÃ“N LIVING COMEDOR AMPLIA COCINA COMPLETAMENTE EQUIPADA LAVADERO INDEPENDIENTE BAÃ‘O COMPLETO HALL DISTRIBUIDOR CON PLACARD Y DOS DORMITORIOS CON PLACARD. TODO EN MUY BUEN ESTADO EXCELENTE UBICACIÃ“N u$s9;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.151;6/2/15 0:00;2015;jun;dto;Almagro;3436397;-34.6214722288,-58.4220937698;53;;8;2;VENTA UNIDADES 1, 2, 3 Y 4 AMBIENTES EN ALMAGRO.  ANTICIPO Y CUOTAS, TODO EN PESOS  Ubicado en Almagro, a tres cuadras de la Av. La Plata y a 5 cuadras de la Av. Boedo. Cercano a Subte linea E y diferentes lineas de colectivos. Emprendimiento cuya fecha d;DEPARTAMENTO EN VENTA;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0
1.264;8/2/15 0:00;2015;ago;dto;Belgrano;3436077;-34.569588,-58.444626;;340;;4;Ariel Champanier  . 4330Contacto: Isabel Doreski  MLS ID # 18126537TOTALMENTE RECICLADO IDEAL FAMILIA NUMEROSA ,4DORMITORIOS,: 1 EN SUITE C/VESTIDOR, 1BAÃ‘O COMPLETO  TOILETTE CON DUCHA.ESCRITORIO,LIVING Y COMEDOR APAISADO CON SALIDA AL BALCON EXTERNO. CE;5 ambientes en Belgrano reciclado a nuevo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1.425;11/12/14 0:00;2014;nov;local;Villa Crespo;3427458;-34.5969156,-58.4363414;26;26;;;LOCALAGUIRRE 500 y Malabia.   ZONA OUTLETS   c/ Agua y gas  Apto Gastronomico  Frente : 3 metros   Fondo : 8.5 metros   Superficie: 25.50m2    Condiciones:   30  Boleto   70  Escritura   5  Comision    CONECTAR PROPIEDADES;LOCAL EN VENTA;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1.453;1/9/16 0:00;2016;ene;dto;Congreso;3435259;-34.6204532,-58.4029587;43;39;6;;Venta de Departamento MONOAMBIENTE en San Cristobal  DESCRIPCIÃ“N: EXCELENTES MONOAMBIENTES DE 10M DE FRENTE POR 4M DE FONDO. VENTANALES DE PISO A TECHO.  BALCON. TERMINACIONES DE CATEGORÃçA.  OPCIONALES CON COCHERAS FIJAS DESDE $282.000 (DESCUBIERTAS) ,;DEPARTAMENTO EN VENTA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
1.485;10/21/15 0:00;2015;oct;dto;Retiro;3429576;-34.6036844,-58.3815591;30;30;;;CODIGO:  ubicado en: Av. Corrientes 800   Publicado por: ESPACIO PALERMO. El precio es de USD 70000. Torre Las Naciones: Departamento monoambiente en venta, ideal inversor excelente zona turistica muy buena rentabilidad, el dpto se vende con el amoblamien;Departamento monoambiente, Venta. Centro;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
